Profile Summary
Generated on: 2022-04-30 09:57:56
Msec since Epoch: 1651283876126
Profiled application: colordetect
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.12.427
Build version branch: 2021.2
Build version hash: 2719b6027e185000fc49783171631db03fc0ef79
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,5,8.3246,0.044163,1.66492,5.01773,
clCreateCommandQueue,1,0.004198,0.004198,0.004198,0.004198,
clCreateContext,1,0.034335,0.034335,0.034335,0.034335,
clCreateKernel,1,1.29615,1.29615,1.29615,1.29615,
clCreateProgramWithBinary,1,109.292,109.292,109.292,109.292,
clEnqueueMigrateMemObjects,1,0.01055,0.01055,0.01055,0.01055,
clEnqueueReadBuffer,1,30.4486,30.4486,30.4486,30.4486,
clEnqueueTask,1,0.837671,0.837671,0.837671,0.837671,
clEnqueueWriteBuffer,1,4.35718,4.35718,4.35718,4.35718,
clFinish,1,0.003607,0.003607,0.003607,0.003607,
clGetDeviceIDs,2,0.003457,0.000912,0.0017285,0.002545,
clGetDeviceInfo,2,0.008026,0.002325,0.004013,0.005701,
clGetExtensionFunctionAddress,2,0.015358,0.002524,0.007679,0.012834,
clGetExtensionFunctionAddressForPlatform,2,0.004238,0.001012,0.002119,0.003226,
clGetPlatformInfo,14,0.01049,0.000551,0.000749286,0.002314,
clReleaseCommandQueue,1,0.002605,0.002605,0.002605,0.002605,
clReleaseContext,1,6.25885,6.25885,6.25885,6.25885,
clReleaseDevice,2,0.003165,0.001272,0.0015825,0.001893,
clReleaseEvent,1,0.030888,0.030888,0.030888,0.030888,
clReleaseKernel,1,9.14953,9.14953,9.14953,9.14953,
clReleaseMemObject,11,0.013032,0.000691,0.00118473,0.001663,
clReleaseProgram,1,0.021531,0.021531,0.021531,0.021531,
clRetainDevice,2,0.001663,0.000701,0.0008315,0.000962,
clRetainMemObject,6,0.006772,0.000672,0.00112867,0.002204,
clSetKernelArg,7,0.029866,0.000751,0.00426657,0.015268,
clWaitForEvents,1,1.12718e+06,1.12718e+06,1.12718e+06,1.12718e+06,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
color_detect,1,1.12713e+06,1.12713e+06,1.12713e+06,1.12713e+06,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
38629904,color_detect,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,200.573,1.12713e+06,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
24899584,0,0,149.427,N/A,24883.2,N/A,
8192,0,0,144.619,N/A,24883.2,N/A,
24891392,0,0,148.549,N/A,0.027,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
24903680,0,0,1.12733e+06,N/A,8294.4,N/A,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_201920_3-0,color_detect_1,color_detect,1:1:1,1:1:1,1,No,0,1.000000x,1.12713e+06,1.12713e+06,1.12713e+06,1.12713e+06,300,









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-0,1.12713e+06,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-0|color_detect_1,1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[10],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[11],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[12],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[13],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[14],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[15],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[16],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[17],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[18],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[19],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[20],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[21],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[22],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[23],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[24],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[25],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[26],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[27],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[28],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[29],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[2],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[30],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[31],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[3],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[4],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[5],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[6],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[7],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[8],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[9],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[2],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[3],1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
PORT_BIT_WIDTH,color_detect_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,color_detect_1/m_axi_gmem1,8,
