Profile Summary
Generated on: 2022-05-01 13:05:42
Msec since Epoch: 1651381542424
Profiled application: colordetect
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.12.427
Build version branch: 2021.2
Build version hash: 2719b6027e185000fc49783171631db03fc0ef79
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,5,9.0952,0.009989,1.81904,5.89071,
clCreateCommandQueue,1,0.005901,0.005901,0.005901,0.005901,
clCreateContext,1,160.398,160.398,160.398,160.398,
clCreateKernel,1,3.23096,3.23096,3.23096,3.23096,
clCreateProgramWithBinary,1,5583.46,5583.46,5583.46,5583.46,
clEnqueueMigrateMemObjects,1,0.011612,0.011612,0.011612,0.011612,
clEnqueueReadBuffer,1,7.42796,7.42796,7.42796,7.42796,
clEnqueueTask,1,0.444904,0.444904,0.444904,0.444904,
clEnqueueWriteBuffer,1,12.2056,12.2056,12.2056,12.2056,
clFinish,1,0.002524,0.002524,0.002524,0.002524,
clGetDeviceIDs,2,0.003257,0.000912,0.0016285,0.002345,
clGetDeviceInfo,2,5.31045,0.003086,2.65522,5.30736,
clGetExtensionFunctionAddress,2,0.018835,0.002765,0.0094175,0.01607,
clGetExtensionFunctionAddressForPlatform,2,0.004258,0.001022,0.002129,0.003236,
clGetPlatformInfo,14,0.010171,0.000561,0.0007265,0.001904,
clReleaseCommandQueue,1,0.004639,0.004639,0.004639,0.004639,
clReleaseContext,1,17.1754,17.1754,17.1754,17.1754,
clReleaseDevice,2,0.003657,0.001212,0.0018285,0.002445,
clReleaseEvent,1,0.034665,0.034665,0.034665,0.034665,
clReleaseKernel,1,6.69704,6.69704,6.69704,6.69704,
clReleaseMemObject,11,0.013946,0.000672,0.00126782,0.001933,
clReleaseProgram,1,2.72786,2.72786,2.72786,2.72786,
clRetainDevice,2,0.001734,0.000752,0.000867,0.000982,
clRetainMemObject,6,0.006722,0.000681,0.00112033,0.002354,
clSetKernelArg,7,0.034784,0.000821,0.00496914,0.018305,
clWaitForEvents,1,32.3385,32.3385,32.3385,32.3385,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
color_detect,1,28.0501,28.0501,28.0501,28.0501,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
87924576,color_detect,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,5816.84,28.0501,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,5800.38,11.676,24883.2,290536,
24891392,0,0,5812.32,4.48933,24883.2,111709,
24883200,0,0,5812.23,0.061956,0.027,0.00167281,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
24895488,0,0,5844.97,7.37896,8294.4,61204,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,1124.06,11.709,8294.4,7.37896,7.37896,
context0:1,WRITE,3,3066.84,31.9463,16588.8,16.2273,5.40909,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-0,28.0501,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_201920_3-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_201920_3-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u50_gen3x16_xdma_201920_3-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[3],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[4],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[5],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[6],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[7],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[8],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[9],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[10],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[11],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[12],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[13],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[14],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[15],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[16],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[17],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[18],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[19],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[20],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[21],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[22],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[23],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[24],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[25],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[26],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[27],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[28],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[29],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[30],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[31],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[3],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
