Profile Summary
Generated on: 2022-05-01 01:27:12
Msec since Epoch: 1651339632252
Profiled application: colordetect
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.12.427
Build version branch: 2021.2
Build version hash: 2719b6027e185000fc49783171631db03fc0ef79
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,5,49.5856,4.79844,9.91712,14.1664,
clCreateCommandQueue,1,0.004379,0.004379,0.004379,0.004379,
clCreateContext,1,0.038532,0.038532,0.038532,0.038532,
clCreateKernel,1,1.34102,1.34102,1.34102,1.34102,
clCreateProgramWithBinary,1,305.129,305.129,305.129,305.129,
clEnqueueMigrateMemObjects,1,0.012103,0.012103,0.012103,0.012103,
clEnqueueReadBuffer,1,27.4874,27.4874,27.4874,27.4874,
clEnqueueTask,1,13.0061,13.0061,13.0061,13.0061,
clEnqueueWriteBuffer,1,4.49031,4.49031,4.49031,4.49031,
clFinish,1,0.002204,0.002204,0.002204,0.002204,
clGetDeviceIDs,2,0.003526,0.000901,0.001763,0.002625,
clGetDeviceInfo,2,0.008345,0.002354,0.0041725,0.005991,
clGetExtensionFunctionAddress,2,0.019767,0.002715,0.0098835,0.017052,
clGetExtensionFunctionAddressForPlatform,2,0.004649,0.001082,0.0023245,0.003567,
clGetPlatformInfo,14,0.010318,0.000551,0.000737,0.002114,
clReleaseCommandQueue,1,0.003657,0.003657,0.003657,0.003657,
clReleaseContext,1,6.05852,6.05852,6.05852,6.05852,
clReleaseDevice,2,0.003146,0.001292,0.001573,0.001854,
clReleaseEvent,1,0.02664,0.02664,0.02664,0.02664,
clReleaseKernel,1,6.86349,6.86349,6.86349,6.86349,
clReleaseMemObject,11,0.027288,0.000741,0.00248073,0.015669,
clReleaseProgram,1,0.027161,0.027161,0.027161,0.027161,
clRetainDevice,2,0.001684,0.000742,0.000842,0.000942,
clRetainMemObject,6,0.006954,0.000682,0.001159,0.002284,
clSetKernelArg,7,0.034845,0.000722,0.00497786,0.018385,
clWaitForEvents,1,1.1406e+06,1.1406e+06,1.1406e+06,1.1406e+06,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
color_detect,1,1.14055e+06,1.14055e+06,1.14055e+06,1.14055e+06,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
27454992,color_detect,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,473.708,1.14055e+06,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
24899584,0,0,421.465,N/A,24883.2,N/A,
24891392,0,0,408.419,N/A,0.027,N/A,
8192,0,0,404.324,N/A,24883.2,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
24903680,0,0,1.14102e+06,N/A,8294.4,N/A,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_201920_3-0,color_detect_1,color_detect,1:1:1,1:1:1,1,No,0,1.000000x,1.14055e+06,1.14055e+06,1.14055e+06,1.14055e+06,300,









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50_gen3x16_xdma_201920_3-0,1.14055e+06,
CU_CALLS,xilinx_u50_gen3x16_xdma_201920_3-0|color_detect_1,1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[10],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[11],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[12],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[13],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[14],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[15],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[16],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[17],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[18],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[19],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[20],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[21],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[22],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[23],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[24],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[25],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[26],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[27],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[28],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[29],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[2],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[30],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[31],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[3],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[4],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[5],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[6],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[7],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[8],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|HBM[9],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[0],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[1],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[2],1,
MEMORY_USAGE,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM[3],1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
PORT_BIT_WIDTH,color_detect_1/m_axi_gmem0,32,
PORT_BIT_WIDTH,color_detect_1/m_axi_gmem1,8,
